x,Actual,Approx,AbsError,RelErrorPercent
1e-10,1e-05,1.144192034290104e-08,9.988558079657099e-06,99.88558079657098
1e-09,3.16227766016838e-05,1.144190207196301e-07,3.150835758096416e-05,99.63817528687997
1e-08,0.0001,1.144171936258277e-06,9.885582806374172e-05,98.85582806374171
1e-07,0.0003162277660168379,1.143989226878037e-05,0.0003047878737480576,96.38238842437029
1e-05,0.003162277660168379,0.001123891195051632,0.002038386465116747,64.45943981428282
0.001,0.03162277660168379,0.03162408741708169,1.310815397899401e-06,0.004145162249382
0.01,0.1,0.09999999532029123,4.679708773269731e-09,4.679708773269731e-06
0.1,0.3162277660168379,0.3162277660247406,7.902623000433096e-12,2.499028817100238e-09
0.9,0.9486832980505138,0.9486832980504812,3.252953462151709e-14,3.428914020976578e-12
1,1,1,0,0
