x,Actual,Approx,AbsError,RelErrorPercent
0,0,0,0,0
0.6283185307179586,0.5877852522924731,0.5877849501992972,3.020931759190049e-07,5.13951608586273e-05
1.256637061435917,0.9510565162951535,0.951056359577227,1.567179265249408e-07,1.647829796019236e-05
1.884955592153876,0.9510565162951536,0.9510566473387845,1.310436308354923e-07,1.377874275505451e-05
2.513274122871834,0.5877852522924732,0.5877854515520391,1.992595658473206e-07,3.390006215197996e-05
3.141592653589793,1.224646799147353e-16,2.116362640691705e-16,8.917158415443514e-17,0.008917158415443514
3.769911184307752,-0.587785252292473,-0.5877854515520388,1.992595657362983e-07,3.390006213309173e-05
4.39822971502571,-0.9510565162951535,-0.9510566473387844,1.310436308354923e-07,1.377874275505451e-05
5.026548245743669,-0.9510565162951536,-0.9510563595772271,1.567179265249408e-07,1.647829796019235e-05
5.654866776461628,-0.5877852522924734,-0.5877849501992974,3.020931759190049e-07,5.139516085862728e-05
6.283185307179586,-2.449293598294706e-16,-4.233419848400158e-16,1.784126250105451e-16,0.01784126250105451
