x,Actual,Approx,AbsError,RelErrorPercent
-1.000000e+00,5.000000e-01,5.000008e-01,7.993294e-07,0.000160
-5.000000e-01,8.000000e-01,7.999994e-01,5.781801e-07,0.000072
-2.500000e-01,9.411765e-01,9.411732e-01,3.305552e-06,0.000351
-1.250000e-01,9.846154e-01,9.846109e-01,4.518893e-06,0.000459
0.000000e+00,1.000000e+00,9.999950e-01,4.995810e-06,0.000500
1.250000e-01,9.846154e-01,9.846109e-01,4.518893e-06,0.000459
2.500000e-01,9.411765e-01,9.411732e-01,3.305552e-06,0.000351
5.000000e-01,8.000000e-01,7.999994e-01,5.781801e-07,0.000072
1.000000e+00,5.000000e-01,5.000008e-01,7.993294e-07,0.000160
